rank,lot,severity,affected_pct,address,city,owner,owner_mailing,use,paved_sqyd,section_sqyd,price_low,price_mid,price_high,why_warm,evidence
1,w0050,88.0,82,451 ANDOVER STREET  335,NORTH ANDOVER,MERRIMACK COLLEGE,"315 TURNPIKE STREET, NORTH ANDOVER, MA 01845","Commercial, Other",15780,13019,286400.0,377500.0,572800.0,"warm: same owner address as 315 TURNPIKE STREET, NORTH ANDOVER (Greener Group LLC)","crop A: dense alligator and block cracking over nearly the whole lot; crop A: large irregular dark patches laid over cracked pavement, with fresh cracks running through the patches"
2,w0025,78.0,65,326 BALLARDVALE ST,ANDOVER,326 BALLARDVALE LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",Warehouses for storage of manufactured products,4055,2636,58000.0,76400.0,116000.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","panel A: truck yard surface is bleached near-white gray across its whole extent; panel A: dense interconnected block/alligator crack network covering essentially all visible pavement, polygons shrinking to alligator scale in the lower-right stalls"
3,w0062,74.0,75,35  DUNHAM RD,BILLERICA,ICBP IV HOLDINGS 40 LLC,"1111 BROADWAY, OAKLAND, CA 94607",Buildings for manufacturing operations,11008,8256,181600.0,239400.0,363300.0,"warm: same owner address as 32  MANNING RD, BILLERICA (Berkeley Partners)","crop A: continuous block crack network across essentially the whole front lot; crop A: bleached, washed-out gray-tan tone typical of a long-unsealed surface"
4,w0068,72.0,65,51  ALDER ST,MEDWAY,ICBP IV HOLDINGS 43 LLC,"1111 BROADWAY, OAKLAND, CA 94607",Buildings for manufacturing operations,25736,16728,368000.0,485100.0,736000.0,"warm: same owner address as 32  MANNING RD, BILLERICA (Berkeley Partners)",crop B: dense interconnected block cracking covering the entire south lot and entry drive; crop B: bleached light-gray surface with badly faded stall lines and hatching
5,w0072,67.0,62,420 450 FORTUNE BLVD,MILFORD,BPVIF V HOLDINGS 18 LLC,"1111 BROADWAY, OAKLAND, CA 94607",Research and Development facilities,17568,10980,241600.0,318400.0,483100.0,"warm: same owner address as 32  MANNING RD, BILLERICA (Berkeley Partners)","crop A: block crack network with clearly interconnected polygons across the large main field, strongest in the upper-right and centre; crop A: cracking continues through the drive aisles and into the lower stall rows"
6,w0026,65.0,58,326 BALLARDVALE ST,WILMINGTON,326 BALLARDVALE LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",Warehouses for storage of manufactured products,4430,2547,56000.0,73900.0,112100.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)",crop A: interconnected crack network over the yard and stall rows on the undimmed east side; crop A: several darker rectangular patches of different tone set into the cracked surface
7,w0032,62.5,68,167 ELM ST L46,SALISBURY,TR KELLY BRANDON D KELLY REBECCA CHU,"55 CAMBRIDGE ST, BURLINGTON, MA 01803","Other Storage, Warehouse, and Distribution facilities (see also usecode 401)",19899,13432,295500.0,389500.0,591000.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","panel A: block crack network runs across the entire main lot, long interconnected dark lines forming large polygons through the aisles and stalls; panel A: weathered gray tone throughout, though white striping is still fairly crisp"
8,w0017,56.5,25,175 KENNETH W WELCH DR,LAKEVILLE,ARC TBLVLMA001 LLC,"PO BOX 92129, SOUTHLAKE, TX 76092",Warehouses for storage of manufactured products,41828,10457,230100.0,303300.0,460100.0,"warm: same owner address as 200 RESEARCH DR, WILMINGTON (JLL- Wilmington)",crop A: lower-left half of the main lot carries a plainly interconnected block crack network over a large contiguous section; crop A: striping in that section is faded to faint gray while the upper-right rows are still crisp
9,w0010,56.0,35,8001 8028 AMBASSADOR DR,WESTBOROUGH,BVF-V WESTBOROUGH LLC,"PO BOX 92129, SOUTHLAKE, TX 76092",Apartments with More than Eight Units,34613,12115,266500.0,351300.0,533000.0,"warm: same owner address as 200 RESEARCH DR, WILMINGTON (JLL- Wilmington)","panel C: upper-left section of the lot shows a plainly interconnected block crack network over a large continuous area, tone bleached light gray there; panel C: striping worn away in that same section"
10,w0019,56.0,32,8 TECHNOLOGY DR,CHELMSFORD,8 TECH LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",Office Building - part of manufacturing operation,6779,2203,48500.0,63900.0,96900.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","crop A: interconnected crack network through the centre and right-hand drive aisle, branching across a substantial contiguous section; crop A: cracking runs along and between the stall rows east of the crosswalk"
11,w0078,56.0,22,250 280 TOSCA DR,STOUGHTON,BPAZ HOLDINGS 40,"1111 BROADWAY, OAKLAND, CA 94607","Mixed Use (Primarily Commercial, some Industrial)",7821,1760,38700.0,51000.0,77400.0,"warm: same owner address as 32  MANNING RD, BILLERICA (Berkeley Partners)",panel A: bleached pale tan-gray surface across the whole yard with no striping left anywhere; panel A: south-central section shows irregular dark broken-up/patched areas and rutting
12,w0002,50.0,38,2 HAMPSHIRE STREET,FOXBOROUGH,QUINCY FOXBORO LLC,"2310 WASHINGTON STREET, NEWTON LOWER FALLS, MA 02462",General Office Buildings,16324,6122,134700.0,177500.0,269300.0,"warm: same owner address as 93 WORCESTER STREET, WELLESLEY (G and M New England)","panel B: interconnected crack network visible through the aisles and between stall rows over a substantial part of the lot; panel A: fainter but still networked block cracking across the upper lot, lines irregular rather than straight paving seams"
13,w0073,48.0,28,550 FORBES BLVD,MANSFIELD,BPVIF V HOLDINGS 43 LLC,"1111 BROADWAY, OAKLAND, CA 94607",Warehouses for storage of manufactured products,23339,6418,141200.0,186100.0,282400.0,"warm: same owner address as 32  MANNING RD, BILLERICA (Berkeley Partners)","panel A: large empty yard is bleached near-white gray with a regular grid of straight seams (reads as jointed slab, not cracking); panel A: a few isolated irregular cracks plus one small dark patch/repair near the center, no interconnected network"
14,w0059,45.5,20,0  MIDDLESEX TPK EXT,BURLINGTON,KOSOW MARVIN P TR,"181 WELLS AVE #303, NEWTON, MA 02459",Apartments with More than Eight Units,28469,5694,125300.0,165100.0,250500.0,"warm: same owner address as 215 SALEM ST, WOBURN (Kadima)","crop C: branching crack fan in the drive left of centre, plus scattered linear cracks along the through-drive; crop A: several curving cracks in the aisle between buildings and at the bottom stall row"
15,w0057,44.0,30,2000 BAY ST,FALL RIVER,FALL RIVER BAY VILLAGE LTD PRT,"151 TREMONT ST, BOSTON, MA 02111",Apartments with More than Eight Units,11813,3544,78000.0,102800.0,155900.0,"warm: same owner address as 165 CARL AV, BROCKTON (Davis commons)",crop A: block crack network spanning the main drive aisle and adjoining stall bays north of the buildings; crop A: interconnected cracks also run the full width of the curved loop drive on the east side
16,w0043,43.5,14,210 ANDOVER ST MAIN PARCE,PEABODY,MALL AT NORTHSHORE LLC,"PO BOX 6120, INDIANAPOLIS, IN 46206",Shopping Centers/Malls,189698,25609,563400.0,742700.0,1126800.0,"warm: same owner address as 100  INDEPENDENCE WAY, DANVERS (Simon Malls ( Liberty Tree Mall))","crop E: scattered long linear and lightly branching cracks along the drive aisles, plus a small darker patch near the island; crop G: two long isolated meandering cracks crossing otherwise clean pavement"
17,w0037,41.5,18,72 CHERRY HILL DR,BEVERLY,1010 CHERRY HILL LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",Office Building - part of manufacturing operation,10652,1971,43400.0,57100.0,86700.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","panel A: long continuous linear cracks running the length of each drive aisle, several in parallel; panel A: branching side cracks connecting adjacent aisle cracks in the east half, forming an incipient network"
18,w0015,39.0,12,367  MAPLE ST,DANVERS,"CVVF DANVERS MA, LLC","PO BOX 92129, SOUTHLAKE, TX 76092",Private Hospitals,4362,545,12000.0,15800.0,24000.0,"warm: same owner address as 200 RESEARCH DR, WILMINGTON (JLL- Wilmington)","panel A: paved stall rows and the east drive are pale gray with thin faded striping, intact, no crack network; panel A: one dark irregular crack line crossing the north apron"
19,w0046,38.5,10,550  LIBERTY ST,BRAINTREE,LENOX FARMS LIMITED PARTNER,"1745 SHEA CENTER DR STE 200, HIGHLANDS RANCH, CO 80129",Apartments with More than Eight Units,35516,3552,78100.0,103000.0,156300.0,"warm: same owner address as 1 INWOOD DR, WOBURN (UDR, Inc.)","panel B: condo drive loop is aged light gray, slightly blotchy tone; panel B: a few isolated long linear cracks near the lower-left curb line, no interconnection"
20,w0021,37.5,10,66 CHERRY HILL DR,BEVERLY,1111 CHERRY HILL LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",Office Building - part of manufacturing operation,6271,627,13800.0,18200.0,27600.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","crop A: aged light-gray, blotchy surface tone across the whole lot; crop A: striping worn and faded in the stall rows north of the building"
21,w0065,37.0,14,33  MANNING RD,BILLERICA,BIRE 33 MANNING ROAD OWNER LLC,"1111 BROADWAY, OAKLAND, CA 94607",Buildings for manufacturing operations,6512,879,19300.0,25500.0,38700.0,"warm: same owner address as 32  MANNING RD, BILLERICA (Berkeley Partners)","panel A: east lot is aged light-gray and blotchy with thin, faded striping; panel A: one dark irregular patch/seal area mid-lot"
22,w0009,35.5,10,300 FRIBERG PARKWAY,WESTBOROUGH,"WESTBOROUGH LIFE PROPERTIES, LLC","PO BOX 92129, SOUTHLAKE, TX 76092",Private Hospitals,16733,1673,36800.0,48500.0,73600.0,"warm: same owner address as 200 RESEARCH DR, WILMINGTON (JLL- Wilmington)","crop A: aged light-gray surface across the curved parking bays, no crack network; crop A: stall striping badly faded, stall edges barely readable in the main bays"
23,w0047,32.5,10,AMES HILL DR,TEWKSBURY,LODGE AT AMES POND LIMITED PTNRSHP,"1745 SHEA CENTER DR STE 200, HIGHLANDS RANCH, CO 80129",Apartments with More than Eight Units,36662,3666,80700.0,106300.0,161300.0,"warm: same owner address as 1 INWOOD DR, WOBURN (UDR, Inc.)","panel A: medium gray ribbon drives and angled stall bays, crisp white striping; panel A: faint longitudinal paving seam down the drive centerline, no true cracking"
24,w0066,32.5,8,14  PROGRESS RD,BILLERICA,BPAZ HOLDINGS 28 LLC,"1111 BROADWAY, OAKLAND, CA 94607",Buildings for manufacturing operations,18408,1841,40500.0,53400.0,81000.0,"warm: same owner address as 32  MANNING RD, BILLERICA (Berkeley Partners)","panel A: aged light-gray blotchy surface, striping faded but readable; panel A: one dark squiggly sealed-crack line near the west edge of the yard, isolated, no network"
25,w0056,31.5,10,1160 PRESIDENT AVE,FALL RIVER,PRESIDENT VILLAGE CO,"151 TREMONT ST, BOSTON, MA 02111",Apartments with More than Eight Units,4666,467,10300.0,13500.0,20500.0,"warm: same owner address as 165 CARL AV, BROCKTON (Davis commons)","panel A: apartment parking bays are aged medium gray with blotchy, uneven tone; panel A: stall striping thin and faded, some lines nearly gone"
26,w0061,31.0,0,120 HOLT ROAD,NORTH ANDOVER,TBI LLC,"210 HOLT ROAD, NORTH ANDOVER, MA 01845",Auto Repair Facilities,4683,468,10300.0,13600.0,20600.0,"warm: same owner address as 210 HOLT ROAD, NORTH ANDOVER (North Andover Waste systems)","panel A: contractor/salvage yard surface is tan-gray compacted dirt and gravel, not asphalt; panel A: no striping, no stall layout, edges blend into soil"
27,w0016,30.0,9,600 RESEARCH DR,WILMINGTON,BGO 600 RESEARCH OWNER LLC,"PO BOX 92129, SOUTHLAKE, TX 76092",Office Building - part of manufacturing operation,21464,2146,47200.0,62200.0,94400.0,"warm: same owner address as 200 RESEARCH DR, WILMINGTON (JLL- Wilmington)","panel A: gray lot with crisp white striping and even tone; panel A: a few scattered thin linear cracks in the drive aisle, no interconnected pattern"
28,w0029,29.0,6,44  BURLINGTON MALL RD,BURLINGTON,40-44 MALL ROAD LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",General Office Buildings,4517,452,9900.0,13100.0,19900.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","crop A: even light-gray surface across both parking fields, no interconnected cracking; crop A: stall lines and hatched zones crisp and bright"
29,w0070,28.0,4,45 PANAS ROAD,FOXBOROUGH,BPAZ HOLDINGS 31 LLC,"1111 BROADWAY, OAKLAND, CA 94607","Other Storage, Warehouse, and Distribution facilities (see also usecode 401)",6632,663,14600.0,19200.0,29200.0,"warm: same owner address as 32  MANNING RD, BILLERICA (Berkeley Partners)","panel A: drive apron wrapping the warehouse is uniform light gray with no tonal blotching; panel A: stall striping along the west side still legible, edges clean"
30,w0022,26.5,8,99  SO BEDFORD ST,BURLINGTON,99 SOUTH BEDFORD STREET LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",Research and Development facilities,9258,926,20400.0,26800.0,40700.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)",panel A: west parking rows are medium-dark gray and evenly toned; panel A: stall striping crisp and unbroken
31,w0023,26.0,6,50  BURLINGTON MALL RD,BURLINGTON,50-54-60 MALL ROAD LLC,"55 CAMBRIDGE ST, BURLINGTON, MA 01803",General Office Buildings,6201,620,13600.0,18000.0,27300.0,"warm: same owner address as 100  QUANNAPOWITT PKWY, WAKEFIELD (RJ Kelly - Wakefield)","crop A: front lot evenly toned light gray with crisp white stall lines and hatching; crop A: rear lot noticeably darker and even, suggesting a newer surface"
32,w0011,25.5,4,1394 WORCESTER ST,NATICK,SUN LIFE ASSURANCE COMPANY OF CANADA,"PO BOX 92129, SOUTHLAKE, TX 76092","Small Retail and Services stores (under 10,000 sq. ft.)",16084,1608,35400.0,46600.0,70800.0,"warm: same owner address as 200 RESEARCH DR, WILMINGTON (JLL- Wilmington)","crop A: long dark squiggly sealed crack running the length of the right-hand aisle, plus a shorter one parallel to it; crop A: surface otherwise even light gray with crisp white striping and sharp hatched islands"
